Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,O,O,O,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

34,1,1,3,0,0,50,0.097,0.8148148
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,D,#,O,O,#,O
# O,#,#,#,→,→,→,→,→,E
# O,O,O,O,↑,O,O,O,O,O
# O,O,O,#,↑,O,O,O,O,O
# O,O,O,O,↑,O,#,#,O,O
# O,O,O,O,↑,#,O,#,#,O
# S,→,→,→,↑,O,#,O,O,O
# O,P,#,O,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

35,2,1,1,0,0,24,0.135,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,#,O,#,O
# O,#,O,O,O,#,O,#,O,O
# O,O,O,O,O,O,#,#,O,O
# O,P,O,P,O,#,D,O,O,O
# S,→,→,→,→,→,→,→,→,E
# O,#,O,D,#,O,#,O,#,O
# O,#,#,O,O,O,#,O,O,O
# O,#,O,O,#,O,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

36,2,1,0,0,0,34,0.126,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,D,O,O,O,#,#,O
# O,→,→,→,→,→,→,→,→,E
# O,↑,O,#,O,#,O,O,O,O
# O,↑,O,#,#,O,#,O,#,O
# O,↑,O,O,O,O,O,#,O,O
# O,↑,#,O,O,O,#,#,O,O
# S,↑,#,#,O,#,O,#,O,O
# O,O,O,#,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

37,3,1,0,0,0,30,0.136,0.8012818
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,#,O,#,O
# O,#,O,O,O,O,O,D,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,O,#,O,P,#,#,↓,O
# O,O,O,O,O,O,#,O,↓,O
# O,O,#,#,#,#,#,#,↓,O
# O,O,#,#,O,O,O,O,↓,O
# O,O,O,#,O,O,O,O,→,E
# O,O,O,O,O,O,O,O,O,O

38,2,2,15,1,1,128,0.13,0.6926848
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,O,#,O,O,O
# O,O,O,#,#,O,#,O,#,O
# O,O,O,O,D,O,#,O,O,O
# O,#,O,O,→,→,→,→,→,E
# O,#,O,O,↑,←,←,P,#,O
# O,O,O,#,#,P,↑,←,#,O
# S,→,→,→,→,→,→,↑,O,O
# O,O,O,#,#,#,O,D,O,O
# O,O,O,O,O,O,O,O,O,O

39,3,1,0,0,0,30,0.123,0.8012818
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,P,O,O,O,O,O
# O,O,O,#,→,↓,O,O,O,O
# O,O,O,O,↑,→,→,→,↓,O
# O,O,O,#,↑,D,#,#,→,E
# S,→,→,→,↑,#,#,#,#,O
# O,P,#,D,O,O,#,O,O,O
# O,#,#,O,O,#,#,O,O,O
# O,O,O,O,O,#,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

40,2,2,21,1,1,120,0.133,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,P,O,D,#,#,#,#,O
# O,#,→,→,→,→,→,→,↓,O
# O,P,↑,←,O,#,O,O,↓,O
# S,→,→,↑,D,O,#,#,↓,O
# O,O,O,#,O,O,O,O,↓,O
# O,#,O,O,O,O,O,O,↓,O
# O,O,O,#,O,#,O,O,→,E
# O,O,O,O,O,#,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

41,1,3,34,2,2,196,0.103,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,#,O,O,O,O,O
# O,P,#,O,O,O,O,O,O,O
# O,→,→,→,→,→,→,→,→,E
# O,↑,O,#,#,O,O,O,D,O
# O,↑,#,#,#,O,O,#,#,O
# O,↑,O,O,O,O,O,#,#,O
# O,↑,#,#,#,O,O,O,#,O
# S,↑,O,#,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

42,2,1,0,0,0,28,0.135,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,O,#,O,#,O,O
# S,→,→,→,→,→,→,→,→,E
# O,P,O,D,O,#,O,O,#,O
# O,O,O,O,O,O,O,#,#,O
# O,O,O,#,O,#,#,#,O,O
# O,O,O,O,#,O,O,O,O,O
# O,#,O,#,O,O,O,O,O,O
# O,#,O,#,#,O,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

43,3,1,0,0,0,30,0.149,0.7708331
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,D,#,O,#,O
# O,#,O,O,O,→,→,→,→,E
# O,#,O,O,O,↑,O,O,#,O
# O,O,#,O,O,↑,#,O,#,O
# O,#,O,#,#,↑,O,O,O,O
# O,O,O,P,#,↑,O,#,O,O
# S,→,→,→,→,↑,O,O,O,O
# O,O,#,O,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

44,2,2,20,0,1,122,0.138,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,#,#,O,#,O
# O,#,O,#,O,O,O,O,O,O
# O,O,#,#,→,→,→,→,↓,O
# O,#,O,O,↑,D,#,O,→,E
