Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,O,#,O,O
# O,O,#,#,#,O,O,O,O,O
# O,#,O,O,O,#,D,O,O,O
# O,D,→,→,→,→,→,→,↓,O
# O,→,↑,P,O,#,#,#,→,E
# O,↑,O,O,O,O,#,#,#,O
# O,↑,#,O,O,O,O,#,#,O
# S,↑,P,O,O,O,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

43,2,1,1,0,0,38,0.157,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,O,#,O,O
# O,O,#,#,#,O,#,O,O,O
# O,#,#,#,O,O,O,O,O,O
# O,O,O,O,O,#,P,O,#,O
# O,O,→,→,→,→,→,↓,→,E
# S,→,↑,D,#,#,#,↓,↑,O
# O,P,O,O,O,#,O,→,↑,O
# O,O,#,O,#,O,#,D,#,O
# O,O,O,O,O,O,O,O,O,O

44,2,1,0,0,0,34,0.127,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,#,O,O,O,O,O
# O,O,O,O,#,#,O,#,O,O
# O,#,#,#,O,#,O,D,→,E
# O,O,O,O,O,#,O,→,↑,O
# O,O,#,#,O,O,O,↑,O,O
# O,O,O,#,#,#,#,↑,O,O
# O,O,P,#,D,O,P,↑,O,O
# S,→,→,→,→,→,→,↑,O,O
# O,O,O,O,O,O,O,O,O,O

45,1,2,14,0,1,118,0.113,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,O,O,→,E
# O,O,#,O,O,O,#,#,↑,O
# O,#,#,O,O,O,O,O,↑,O
# O,O,#,#,#,O,#,O,↑,O
# O,O,O,#,#,#,P,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,#,#,#,O,O,O,D,O,O
# O,O,O,O,#,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

46,2,1,0,0,0,20,0.137,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,#,O,O,O
# O,O,O,P,O,O,#,#,O,O
# S,→,→,→,→,→,→,→,→,E
# O,O,O,O,D,#,#,O,O,O
# O,O,O,O,#,#,#,O,#,O
# O,O,O,#,O,#,#,#,#,O
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,#,O,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

47,2,1,1,0,0,38,0.123,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,O,O,→,E
# O,O,O,O,#,O,O,O,↑,O
# O,#,O,#,O,O,O,O,↑,O
# O,#,#,O,O,O,#,#,↑,O
# O,O,#,O,O,#,O,#,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,P,#,O,#,O,#,D,O
# O,O,#,O,O,#,O,O,#,O
