Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# S,→,→,→,→,→,→,→,↓,O
# O,#,#,P,#,O,O,O,↓,O
# O,O,#,O,#,O,O,O,↓,O
# O,O,O,O,#,O,O,#,↓,O
# O,O,#,#,O,#,O,O,↓,O
# O,O,#,#,O,O,O,O,→,E
# O,O,#,O,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

39,1,2,30,1,1,140,0.1,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,O,#,O,O
# O,#,#,O,O,O,O,O,#,O
# O,O,O,#,#,#,D,#,O,O
# S,→,→,→,→,→,↓,#,O,O
# O,#,O,#,P,↓,←,O,→,E
# O,#,O,#,O,→,→,→,↑,O
# O,O,O,O,O,P,O,D,#,O
# O,#,O,O,O,#,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

40,2,1,0,0,0,22,0.133,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,O,#,#,O,O
# O,O,O,O,#,O,D,#,O,O
# O,O,#,#,O,O,→,→,→,E
# S,→,→,→,→,→,↑,O,O,O
# O,O,O,#,P,O,#,O,#,O
# O,O,#,#,O,O,O,#,O,O
# O,O,O,O,O,#,#,O,#,O
# O,#,#,O,O,O,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

41,2,1,0,0,0,30,0.126,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,O,#,#,O
# S,→,→,↓,D,O,P,O,#,O
# O,#,#,→,→,→,→,→,↓,O
# O,O,#,P,O,#,#,D,↓,O
# O,#,#,O,O,O,O,O,↓,O
# O,O,O,O,O,#,O,O,↓,O
# O,#,#,O,O,O,O,#,→,E
# O,#,O,#,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

42,2,1,0,0,0,34,0.135,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,O,O,O,O,O
# O,#,O,O,O,O,#,O,#,O
# O,O,O,O,O,#,#,#,O,O
# O,O,#,O,O,#,#,D,#,O
# O,O,#,O,#,O,O,→,↓,O
# O,O,O,O,O,#,O,↑,↓,O
# O,P,O,O,#,#,#,↑,→,E
# S,→,→,→,→,→,→,↑,O,O
# O,O,O,O,O,O,O,O,O,O

43,2,1,1,0,0,34,0.133,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,O,O,#,O,O,D,O
# O,→,→,→,→,→,→,→,→,E
# O,↑,#,O,O,O,#,O,O,O
# O,↑,O,O,O,O,O,#,O,O
# O,↑,O,#,#,#,O,O,#,O
# O,↑,O,#,#,#,O,O,O,O
# S,↑,#,O,#,O,#,O,O,O
# O,#,#,O,#,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

44,2,1,1,0,0,42,0.125,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,#,O,O,O,#,O
# O,O,#,O,#,O,#,O,O,O
# O,#,O,O,#,#,O,O,#,O
# O,O,O,O,#,O,O,O,O,O
# O,O,O,#,O,O,→,→,→,E
# O,#,O,#,O,O,↑,P,O,O
# O,#,O,#,O,#,↑,←,D,O
# S,→,→,→,→,→,→,↑,O,O
# O,O,O,O,O,O,O,O,O,O

45,1,2,13,0,1,98,0.103,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,O,#,#,O
# O,O,O,O,O,#,O,O,→,E
# O,O,O,#,O,O,#,O,↑,O
# O,O,#,#,#,O,#,O,↑,O
# O,O,O,#,O,O,#,#,↑,O
# O,O,#,O,#,O,#,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,P,#,D,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

46,1,1,3,0,0,36,0.105,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,O,O,O,O
# O,O,#,O,#,O,O,O,O,O
# O,O,#,#,O,D,O,#,#,O
# S,→,→,→,→,→,→,→,→,E
# O,#,O,P,O,#,O,O,O,O
# O,O,O,#,#,#,#,#,#,O
# O,O,O,#,O,#,O,O,O,O
# O,#,O,#,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

47,2,1,0,0,0,22,0.127,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,#,#,O,O
# O,O,O,O,O,#,O,#,#,O
# O,O,O,O,O,O,#,#,O,O
# O,#,O,O,O,O,D,#,#,O
# O,O,O,→,→,→,→,→,→,E
# S,→,→,↑,P,#,#,#,#,O
# O,#,O,#,#,O,O,O,O,O
# O,O,O,O,#,#,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

48,2,1,0,0,0,30,0.122,0.6926848
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,O,#,O,O
# O,O,O,#,#,#,#,O,→,E
# O,#,O,O,O,#,#,O,↑,O
# O,#,O,O,#,O,O,O,↑,O
# O,O,O,#,#,O,O,#,↑,O
# O,O,O,O,#,O,P,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,O,O,#,#,D,O,#,O
# O,O,O,O,O,O,O,O,O,O

49,1,2,21,1,1,116,0.104,0.7654321
